gdp_per_capita,life_expectancy,social_support,score
1.484414935112,0.84388679265976,1.6071301820514057,7.28399991989136
1.37538242340088,0.83840399980545,1.5520238959070247,7.21299982070923
1.10970628261566,0.759509265422821,1.4863813058795403,7.0789999961853
1.48709726333618,0.815328419208527,1.5519563600968664,7.00600004196167
1.54625928401947,0.77428662776947,1.5501195390467224,6.99300003051758
1.53570663928986,0.80978262424469,1.559086051459067,6.97700023651123
1.48792338371277,0.798950731754303,1.5441781299619106,6.95100021362305
1.46378076076508,0.818091869354248,1.5298692285553828,6.89099979400635
1.74194359779358,0.845089495182037,1.589104522565664,6.86299991607666
1.44163393974304,0.805335938930511,1.489975977444118,6.71400022506714
1.25278460979462,0.819479703903198,1.4312143598917022,6.65199995040894
1.62634336948395,0.726798236370087,1.5166627243081685,6.64799976348877
1.10735321044922,0.616552352905273,1.383550413429209,6.63500022888184
1.35268235206604,0.754444003105164,1.4513672326222309,6.60900020599365
1.18529546260834,0.695137083530426,1.4119062721253055,6.59899997711182
1.15318381786346,0.709978997707367,1.396441653970306,6.57800006866455
1.69227766990662,0.949492394924164,1.5468410125965557,6.57200002670288
1.34327983856201,0.821944236755371,1.460938073835323,6.52699995040894
1.21755969524384,0.719216823577881,1.4100257326657717,6.4539999961853
0.872001945972443,0.540239989757538,1.3168820286478016,6.4539999961853
1.23374843597412,0.706156134605408,1.4113217123458468,6.4520001411438
1.43092346191406,0.844465851783752,1.4582762973706076,6.44199991226196
1.12786877155304,0.647239029407501,1.3849111953856064,6.42399978637695
1.43362653255463,0.793984234333038,1.439702923242868,6.42199993133545
1.38439786434174,0.888960599899292,1.4464511519087568,6.40299987792969
1.87076568603516,0.710098087787628,1.5331915286898747,6.375
1.07062232494354,0.595027923583984,1.3499519395842026,6.35699987411499
1.53062355518341,0.590148329734802,1.432964317334552,6.3439998626709
1.36135590076447,0.519983291625977,1.3670057309468224,6.16800022125244
1.63295245170593,0.632105708122253,1.4208097460378486,6.10500001907349
1.32539355754852,0.712732911109924,1.3512427669127476,6.09800004959106
1.48841226100922,0.653133034706116,1.400793928493245,6.08699989318848
1.29121541976929,0.618784427642822,1.3449733597024949,6.08400011062622
0.737299203872681,0.653095960617065,1.2486056892121615,6.07100009918213
1.00082039833069,0.685636222362518,1.293578410897949,6.00799989700317
0.909784495830536,0.596018552780151,1.2626148508911783,6.00299978256226
1.29178786277771,0.699475347995758,1.3548744529080496,5.97300004959106
0.786441087722778,0.498272627592087,1.2487131914467708,5.97100019454956
1.39506661891937,0.853144347667694,1.3675319172478098,5.96400022506714
1.28177809715271,0.547349333763123,1.3198316278871176,5.96299982070923
0.907975316047668,0.450191766023636,1.2556014530367976,5.95599985122681
1.41691517829895,0.913475871086121,1.404449138492586,5.92000007629395
1.31458234786987,0.62894994020462,1.315108968625792,5.90199995040894
1.09186446666718,0.617584645748138,1.2671848795840668,5.87200021743774
1.26074862480164,0.638566970825195,1.3099529200313913,5.84999990463257
1.40167844295502,0.900214076042175,1.3636436311986826,5.83799982070923
0.728870630264282,0.589465200901031,1.1941273661750773,5.83799982070923
1.21768391132355,0.685158312320709,1.32322547230338,5.82499980926514
0.833756566047668,0.473630249500275,1.2347381274689575,5.82299995422363
1.13077676296234,0.437726080417633,1.2723804432855732,5.82200002670288
1.28455626964569,0.606041550636292,1.3274650468758935,5.81899976730347
1.3469113111496,0.834647238254547,1.3736901629176244,5.80999994277954
1.3412059545517,0.790828227996826,1.3698384193855624,5.75799989700317
1.03522527217865,0.630166113376617,1.2700896520858374,5.71500015258789
1.18939554691315,0.638007462024689,1.290288494506396,5.62900018692017
1.35593807697296,0.84471470117569,1.3346679095069651,5.62099981307983
1.32087934017181,0.695168316364288,1.3217224414532618,5.61100006103516
1.15655755996704,0.637714266777039,1.2560710729810949,5.56899976730347
1.10180306434631,0.520169019699097,1.242267110983586,5.52500009536743
1.19827437400818,0.637605607509613,1.2549144765437794,5.5
0.932537317276001,0.579250693321228,1.216304115097796,5.49300003051758
1.55167484283447,0.943062424659729,1.3823103941125552,5.47200012207031
0.85769921541214,0.468009054660797,1.191146089629204,5.42999982833862
1.06931757926941,0.65078467130661,1.2089311083449623,5.39499998092651
0.991012394428253,0.604590058326721,1.2016774025609234,5.33599996566772
1.2860119342804,0.687763452529907,1.241353624586354,5.32399988174438
0.925579309463501,0.641022384166718,1.1991334778762146,5.31099987030029
1.22255623340607,0.701288521289825,1.237645802177793,5.29300022125244
0.951484382152557,0.541452050209045,1.1643804583797934,5.27899980545044
1.08116579055786,0.741415500640869,1.2400625759195312,5.27299976348877
0.72688353061676,0.402047783136368,1.1019630314863904,5.26900005340576
0.995538592338562,0.492345720529556,1.1887338568828578,5.26200008392334
1.12843120098114,0.617144227027893,1.197945065981724,5.25
1.12112903594971,0.667464673519135,1.2071497385116108,5.23699998855591
0.878114581108093,0.59771066904068,1.1767984459689762,5.2350001335144
1.15360176563263,0.540775775909424,1.2220665583100416,5.23400020599365
1.07937383651733,0.574873745441437,1.2307479161587982,5.23000001907349
1.28948748111725,0.810198903083801,1.2524785955722897,5.22700023651123
1.07498753070831,0.735081076622009,1.2245612605798712,5.22499990463257
1.3151752948761,0.795843541622162,1.2977516517132974,5.19500017166138
0.982409417629242,0.705186307430267,1.1889405186352535,5.18200016021729
0.730573117733002,0.582569479942322,1.14230441661987,5.18100023269653
1.06457793712616,0.644948184490204,1.2123161839491332,5.17500019073486
0.0226431842893362,0.113989137113094,0.9712680205066828,5.15100002288818
0.788547575473785,0.652168989181519,1.1722790952237865,5.07399988174438
0.783756256103516,0.0569157302379608,1.074053533486783,5.07399988174438
0.524713635444641,0.529235124588013,1.091887504251054,5.04099988937378
